Широта;Долгота;Склонение
S90;E000;-27,5
S89;E000;-26,5
S88;E000;-25,5
S87;E000;-24,7
S86;E000;-24
S85;E000;-23,3
S84;E000;-22,7
S83;E000;-22,1
S82;E000;-21,7
S81;E000;-21,2
S80;E000;-20,8
S79;E000;-20,5
S78;E000;-20,2
S77;E000;-19,9
S76;E000;-19,7
S75;E000;-19,5
S74;E000;-19,3
S73;E000;-19,2
S72;E000;-19,1
S71;E000;-19
S70;E000;-19
S69;E000;-18,9
S68;E000;-18,9
S67;E000;-18,9
S66;E000;-19
S65;E000;-19
S64;E000;-19,1
S63;E000;-19,2
S62;E000;-19,3
S61;E000;-19,4
S60;E000;-19,6
S59;E000;-19,7
S58;E000;-19,9
S57;E000;-20,1
S56;E000;-20,3
S55;E000;-20,6
S54;E000;-20,8
S53;E000;-21,1
S52;E000;-21,3
S51;E000;-21,6
S50;E000;-21,9
S49;E000;-22,2
S48;E000;-22,5
S47;E000;-22,8
S46;E000;-23,2
S45;E000;-23,5
S44;E000;-23,8
S43;E000;-24,1
S42;E000;-24,4
S41;E000;-24,6
S40;E000;-24,9
S39;E000;-25,1
S38;E000;-25,3
S37;E000;-25,4
S36;E000;-25,5
S35;E000;-25,6
S34;E000;-25,6
S33;E000;-25,6
S32;E000;-25,5
S31;E000;-25,3
S30;E000;-25,1
S29;E000;-24,9
S28;E000;-24,6
S27;E000;-24,3
S26;E000;-23,9
S25;E000;-23,4
S24;E000;-22,9
S23;E000;-22,4
S22;E000;-21,9
S21;E000;-21,3
S20;E000;-20,7
S19;E000;-20
S18;E000;-19,4
S17;E000;-18,7
S16;E000;-18,1
S15;E000;-17,4
S14;E000;-16,7
S13;E000;-16,1
S12;E000;-15,4
S11;E000;-14,8
S10;E000;-14,1
S09;E000;-13,5
S08;E000;-12,9
S07;E000;-12,3
S06;E000;-11,8
S05;E000;-11,2
S04;E000;-10,7
S03;E000;-10,2
S02;E000;-9,7
S01;E000;-9,2
N00;E000;-8,8
N01;E000;-8,4
N02;E000;-8
N03;E000;-7,6
N04;E000;-7,2
N05;E000;-6,9
N06;E000;-6,6
N07;E000;-6,3
N08;E000;-6
N09;E000;-5,7
N10;E000;-5,5
N11;E000;-5,3
N12;E000;-5
N13;E000;-4,8
N14;E000;-4,7
N15;E000;-4,5
N16;E000;-4,3
N17;E000;-4,2
N18;E000;-4
N19;E000;-3,9
N20;E000;-3,8
N21;E000;-3,7
N22;E000;-3,6
N23;E000;-3,5
N24;E000;-3,4
N25;E000;-3,4
N26;E000;-3,3
N27;E000;-3,3
N28;E000;-3,2
N29;E000;-3,2
N30;E000;-3,1
N31;E000;-3,1
N32;E000;-3,1
N33;E000;-3,1
N34;E000;-3,1
N35;E000;-3,1
N36;E000;-3,1
N37;E000;-3,2
N38;E000;-3,2
N39;E000;-3,3
N40;E000;-3,3
N41;E000;-3,4
N42;E000;-3,5
N43;E000;-3,6
N44;E000;-3,7
N45;E000;-3,8
N46;E000;-3,9
N47;E000;-4
N48;E000;-4,2
N49;E000;-4,3
N50;E000;-4,5
N51;E000;-4,7
N52;E000;-4,9
N53;E000;-5,1
N54;E000;-5,3
N55;E000;-5,5
N56;E000;-5,8
N57;E000;-6
N58;E000;-6,2
N59;E000;-6,5
N60;E000;-6,8
N61;E000;-7
N62;E000;-7,3
N63;E000;-7,6
N64;E000;-7,8
N65;E000;-8,1
N66;E000;-8,4
N67;E000;-8,6
N68;E000;-8,9
N69;E000;-9,2
N70;E000;-9,4
N71;E000;-9,7
N72;E000;-10
N73;E000;-10,2
N74;E000;-10,5
N75;E000;-10,8
N76;E000;-11,1
N77;E000;-11,4
N78;E000;-11,8
N79;E000;-12,1
N80;E000;-12,6
N81;E000;-13,1
N82;E000;-13,7
N83;E000;-14,4
N84;E000;-15,3
N85;E000;-16,5
N86;E000;-18
N87;E000;-19,9
N88;E000;-22,7
N89;E000;-26,6
N90;E000;-32,5
S90;E001;-28,5
S89;E001;-27,4
S88;E001;-26,5
S87;E001;-25,6
S86;E001;-24,9
S85;E001;-24,2
S84;E001;-23,5
S83;E001;-23
S82;E001;-22,5
S81;E001;-22
S80;E001;-21,6
S79;E001;-21,3
S78;E001;-20,9
S77;E001;-20,7
S76;E001;-20,4
S75;E001;-20,2
S74;E001;-20
S73;E001;-19,9
S72;E001;-19,8
S71;E001;-19,7
S70;E001;-19,6
S69;E001;-19,6
